event_date,nodo_id,element_identifier,power_level,transmission_bit_rate,dl_modulation,rltavg,nbi_sys
2019-10-23 20:14:27,HC-0096,HC-0010 dir HC-0096,24,110.5,85.2,8X MIMO-B,-51.2,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0259,HC-0267 dir HC-0259,24,1184.82,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0293,HC-0399 dir HC-0293,24,70.64,79.2,8X MIMO-B,-45.2,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0375,HC-0361 dir HC-0375,24,95.79,82.2,8X MIMO-B,-48.2,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0417,HC-0128 dir HC-0417,24,34.18,94.8,8X MIMO-B,-60.8,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0114,HC-0115 dir HC-0114,24,2411.8,77.5,8X MIMO-B,-43.5,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0028,HC-0382 dir HC-0028,24,442.05,76.5,8X MIMO-B,-42.5,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0166,HC-0287 dir HC-0166,24,99.64,80.9,8X MIMO-B,-46.9,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0166,HC-0171 dir HC-0166,24,96.41,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0166,HC-0209 dir HC-0166,24,88.45,81,8X MIMO-B,-47,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0371,HC-0286 dir HC-0371,24,23.26,89.9,8X MIMO-B,-55.9,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0371,HC-0303 dir HC-0371,24,15.23,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0371,HC-0282 dir HC-0371,24,42.09,82.9,8X MIMO-B,-48.9,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0076,HC-0054 dir HC-0076,24,23.56,87.9,8X MIMO-B,-53.9,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0094,HC-0145 dir HC-0094,24,10.37,85.5,8X MIMO-B,-51.5,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0211,HC-0405 dir HC-0211,24,2506.44,81.8,8X MIMO-B,-47.8,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0166,HC-0025 dir HC-0166,24,88.95,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0099,HC-0036 dir HC-0099,24,1155.65,88.5,8X MIMO-B,-54.5,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0211,HC-0268 dir HC-0211,24,2401.04,88.5,8X MIMO-B,-54.5,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0308,HC-0123 dir HC-0308,24,1173.36,90.5,8X MIMO-B,-56.5,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0289,HC-0226 dir HC-0289,24,796.45,84,8X MIMO-B,-50,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0381,HC-0337 dir HC-0381,24,23.66,83.5,8X MIMO-B,-49.5,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0120,HC-0202 dir HC-0120,24,130.52,77.5,8X MIMO-B,-43.5,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0166,HC-0340 dir HC-0166,24,89.41,83.8,8X MIMO-B,-49.8,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0368,HC-0074 dir HC-0368,24,9659.1,81.9,8X MIMO-B,-47.9,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0253,HC-0155 dir HC-0253,24,39.16,81.9,8X MIMO-B,-47.9,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0283,HC-0270 dir HC-0283,24,17.21,74.8,6X MIMO-B,-40.8,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0253,HC-0266 dir HC-0253,24,148.15,82.5,8X MIMO-B,-48.5,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0042,HC-0407 dir HC-0042,24,2379.97,81.2,8X MIMO-B,-47.2,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0264,HC-0358 dir HC-0264,24,69.58,87,8X MIMO-B,-53,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0242,HC-0090 dir HC-0242,24,1690.13,80.5,8X MIMO-B,-46.5,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0210,HC-0184 dir HC-0210,24,92.62,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0242,HC-0110 dir HC-0242,24,738.54,87.9,8X MIMO-B,-53.9,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0230,HC-0052 dir HC-0230,24,59.52,82,8X MIMO-B,-48,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0368,HC-0164 dir HC-0368,24,32.4,87.5,8X MIMO-B,-53.5,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0253,HC-0068 dir HC-0253,24,36.62,89.2,8X MIMO-B,-55.2,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0256,HC-0035 dir HC-0256,24,857.19,85.5,8X MIMO-B,-51.5,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0042,HC-0238 dir HC-0042,24,84.69,84.8,8X MIMO-B,-50.8,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0379,HC-0343 dir HC-0379,24,49.07,89.2,8X MIMO-B,-55.2,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0261,HC-0402 dir HC-0261,24,108.3,82.2,8X MIMO-B,-48.2,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0261,HC-0401 dir HC-0261,24,83.17,85.2,8X MIMO-B,-51.2,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0219,HC-0290 dir HC-0219,24,569.53,80.9,8X MIMO-B,-46.9,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0219,HC-0349 dir HC-0219,24,14.95,87.2,8X MIMO-B,-53.2,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0256,HC-0413 dir HC-0256,24,84.76,84.9,8X MIMO-B,-50.9,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0293,HC-0027 dir HC-0293,24,2061.23,94,8X MIMO-B,-60,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0096,HC-0255 dir HC-0096,24,1281.09,80.5,8X MIMO-B,-46.5,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0134,HC-0274 dir HC-0134,24,12.15,102.8,6X MIMO-B,-68.8,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0386,HC-0100 dir HC-0386,24,86.4,85.8,8X MIMO-B,-51.8,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0346,HC-0317 dir HC-0346,24,98.28,84.5,8X MIMO-B,-50.5,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0161,HC-0329 dir HC-0161,24,40.29,86.5,8X MIMO-B,-52.5,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0289,HC-0396 dir HC-0289,24,18.48,87.5,8X MIMO-B,-53.5,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0157,HC-0217 dir HC-0157,24,11.84,81.5,8X MIMO-B,-47.5,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0022,HC-0245 dir HC-0022,24,92.29,89.2,8X MIMO-B,-55.2,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0376,HC-0277 dir HC-0376,24,390.93,84.9,8X MIMO-B,-50.9,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0289,HC-0418 dir HC-0289,24,486.98,89.9,8X MIMO-B,-55.9,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0418,HC-0414 dir HC-0418,24,335.91,84.5,8X MIMO-B,-50.5,FTP/CAMBIUM
2019-10-23 20:14:27,HC-0140,HC-0139 dir HC-0140,24,37.49,86.9,8X MIMO-B,-52.9,FTP/CAMBIUM
