event_date,nodo_id,element_identifier,power_level,transmission_bit_rate,dl_modulation,rltavg,nbi_sys
28-11-2019 1430,HC-0285,HC-0259 dir HC-0285,27,1875503300,4,-47,SNMP/SIAE
28-11-2019 1430,HC-0259,HC-0285 dir HC-0259,27,3369590142,4,-45,SNMP/SIAE
28-11-2019 1430,HC-0104,HC-0259 dir HC-0104,27,3139527815,4,-53,SNMP/SIAE
28-11-2019 1430,HC-0259,HC-0104 dir HC-0259,27,3178162786,4,-53,SNMP/SIAE
28-11-2019 1430,HC-0108,HC-0259 dir HC-0108,23,1297917388,10,-45,SNMP/SIAE
28-11-2019 1430,HC-0259,HC-0108 dir HC-0259,23,1442716046,10,-47,SNMP/SIAE
28-11-2019 1430,HC-0055,HC-0108 dir HC-0055,24,2724361971,7,-47,SNMP/SIAE
28-11-2019 1430,HC-0108,HC-0055 dir HC-0108,24,686254066,7,-47,SNMP/SIAE
28-11-2019 1430,HC-0082,HC-0228 DIR HC-0082,23,4115928052,10,-48,SNMP/SIAE
28-11-2019 1430,HC-0228,HC-0082 DIR HC-0228,23,2218606771,10,-48,SNMP/SIAE
28-11-2019 1430,HC-0205,HC-0082 DIR HC-0205,19,2053832328,10,-40,SNMP/SIAE
28-11-2019 1430,HC-0082,HC-0205 DIR HC-0082,19,3451932251,10,-39,SNMP/SIAE
28-11-2019 1430,HC-0131,HC-0205 DIR HC-0131,19,4156459410,10,-38,SNMP/SIAE
28-11-2019 1430,HC-0205,HC-0131 DIR HC-0205,19,4007282101,10,-39,SNMP/SIAE
28-11-2019 1430,HC-0326,HC-0082 dir HC-0326,23,1090588712,4,-37,SNMP/SIAE
28-11-2019 1430,HC-0082,HC-0326 dir HC-0082,23,4268702825,4,-37,SNMP/SIAE
28-11-2019 1430,HC-0291,HC-0228 DIR HC-0291,23,3557056963,22,-38,SNMP/SIAE
28-11-2019 1430,HC-0228,HC-0291 DIR HC-0228,23,1347960992,22,-38,SNMP/SIAE
28-11-2019 1430,HC-0347,HC-0291 DIR HC-0347,23,3326799564,10,-44,SNMP/SIAE
28-11-2019 1430,HC-0291,HC-0347 DIR HC-0291,23,2613661205,10,-44,SNMP/SIAE
28-11-2019 1430,HC-0222,HC-0347 DIR HC-0222,23,111236624,10,-40,SNMP/SIAE
28-11-2019 1430,HC-0347,HC-0222 DIR HC-0347,23,192105000,10,-41,SNMP/SIAE
28-11-2019 1430,HC-0356,HC-0228 DIR HC-0356,23,3341817639,4,-42,SNMP/SIAE
28-11-2019 1430,HC-0228,HC-0356 DIR HC-0228,,536583760,4,,SNMP/SIAE
28-11-2019 1430,HC-0214,HC-0228 DIR HC-0214,19,1825340033,10,-42,SNMP/SIAE
28-11-2019 1430,HC-0228,HC-0214 DIR HC-0228,19,509053843,10,-42,SNMP/SIAE
